stationing;easting;northing;elevation;azimuth;slope;gauge;cantrad;trackradius;guid;cq;odometer;airtemperature;airpressure;sleeper;corr_3dsmoothing_sit;corr_3dsmoothing_elev;corr_3dsmoothing_dist;tpstype;comp_e;comp_n;comp_h;imu_roll_rad;sync_value;datetime;origin;
329013.8569;451389.3303;4565298.9374;473.3873;1.56256065444;-0.00193036839097;1.4356;-0.000034;0.000;BF389834-DB86-427F-B21A-9C10B41BF881;NA;329013.8569;293.100;101300.000;328333040;NA;NA;NA;S;NA;NA;NA;0.002337;145415;20171002232502;IMUABS;
329013.9901;451389.4635;4565298.9385;473.3871;1.56253379476;-0.0019107184071;1.4355;0.000124;0.000;5DE7750E-3C7F-4590-A1FF-14E7265960E2;NA;329013.9929;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002463;263210;20171002232659;IMUABS;
329014.0942;451389.5676;4565298.9394;473.3869;1.56249935633;-0.00190735261297;1.4354;0.000184;0.000;3AC5587D-1B15-4D95-9174-2AC9A6049A99;NA;329014.0976;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002523;263410;20171002232659;IMUABS;
329014.2294;451389.7028;4565298.9406;473.3866;1.56244403629;-0.00192939693528;1.4354;0.000228;0.000;29B2EEF1-52CB-414D-8237-0003C304176B;NA;329014.2284;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002567;263610;20171002232700;IMUABS;
329014.3806;451389.8540;4565298.9418;473.3863;1.56234604768;-0.00204135620157;1.4354;0.000284;0.000;32859889-2B4C-4A98-A8CA-419703F20D1A;NA;329014.3801;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002623;263810;20171002232700;IMUABS;
329014.5489;451390.0223;4565298.9432;473.3860;1.56241445138;-0.00218299810313;1.4354;0.000372;0.000;E6CA3DF0-D0DF-493B-B997-0A7C413A3E0A;NA;329014.5527;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002711;264010;20171002232700;IMUABS;
329014.7382;451390.2115;4565298.9448;473.3856;1.56255721176;-0.00228535666328;1.4354;0.000366;0.000;9CD1A080-2E8D-49C2-9AB8-EDAA8087AA7D;NA;329014.7411;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002705;264210;20171002232700;IMUABS;
329014.8404;451390.3138;4565298.9457;473.3853;1.56251380675;-0.00229245036245;1.4353;0.000328;0.000;E164EA88-8F52-4CE6-B798-3B8FBE9B3756;NA;329014.8405;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002667;264310;20171002232700;IMUABS;
329014.9449;451390.4183;4565298.9466;473.3851;1.56252813436;-0.00231971713907;1.4352;0.000338;0.000;3258C3A0-8F23-40FC-AC67-9CFBA3514D4D;NA;329014.9451;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002677;264410;20171002232700;IMUABS;
329015.0502;451390.5236;4565298.9474;473.3848;1.56256521065;-0.00242163844149;1.4353;0.000404;0.000;B76B59C1-F009-45CB-84C1-EC69EBF4C81B;NA;329015.0497;293.100;101300.000;;NA;NA;NA;C;NA;NA;NA;0.002743;264510;20171002232701;IMUABS;
